latitude___n,longitude___e
22.65,93.86
37.71,71.84
25.74,95.14
36.66,71.21
17.29,73.81
27.61,92.75
27.78,84.57
36.05,69.98
36.46,71.01
37.13,71.25
28.29,85.34
35.87,73.33
22.72,94.37
31.93,85.32
24.44,94.3
35.69,70.76
36.94,71.07
24.15,93.65
27.31,95.2
35.94,70.56
22.71,92.25
32.18,68.65
23.18,94.18
28.79,87.43
24.48,92.12
29.36,81.26
29.46,81.48
30.16,70.07
21.33,94.18
36.3,69.85
24.98,95.11
29.48,81.22
20.77,93.98
25.11,94.37
36.73,69.1
37.65,72.14
25.98,95.6
29.94,70.32
22.42,93.57
25.2,94.53
24.83,94.89
36.53,70.38
37.08,71.9
37.12,71.62
35.21,73.04
36.6,70.65
28.99,84.1
29.4,81.22
27.88,86.14
36.85,71.76
36.23,71.56
36.08,72.18
30.37,79.29
36.49,71.35
36.63,72.44
36.32,70.59
36.75,71.45
36.46,70.35
24.51,94.52
11.83,95.31
26.44,93.36
15.52,93.84
21.64,72.49
31.15,74.22
36.6,70.46
36.95,71.61
35.62,69.89
22.97,93.99
31.36,77.6
37.26,72.3
12.81,93.22
36.57,71.14
36.65,70.42
26.49,92.36
21.68,94.22
24.73,94.27
28.42,87.63
29.69,94.72
24.71,94.31
21.35,94.61
31.33,77.55
36.54,71.36
34.19,72.04
24.54,94.43
36.25,69.97
28.58,95.58
35.37,68.59
36.44,70.61
37.89,72.22
36.15,70.82
7.51,92.73
8.22,93.03
36.38,70.92
37.55,72.03
25.65,90.84
34.39,86.27
35.29,81.1
36.81,71.19
29.13,76.89
36.48,71.02
22.61,94.49
36.56,70.53
31.97,77.98
12.01,93.79
30.96,78.14
22.57,95.96
27.56,92.8
37.22,71.96
25.65,93.22
24.86,94.14
25.58,93.55
28.11,76.13
36.46,71.32
36.44,71.07
25.6,93.21
23.85,94.39
35.45,69.33
20.95,94.27
20.88,94.45
29.8,80.38
24.26,94.44
9.09,94.47
31.34,73.41
31.35,77.61
31.42,77.61
31.34,77.57
31.32,77.54
31.46,77.59
31.5,77.63
23.93,93.71
36.69,77.39
32.79,76.29
25.81,93.17
28.15,88.55
36.33,70.39
25.69,90.84
36.55,70.53
36.52,70.68
24.7,93.39
34.18,86.09
36.36,71.52
35.99,70.12
34.87,72.21
28.93,94.93
24.43,94.43
26.53,92
36.49,71.12
27.36,97.29
27.87,92.11
13.62,92.69
27.75,86.25
35.01,72.53
27.18,94.54
28.35,95.01
26.68,89.41
30.05,82.89
36.24,70.28
29.59,82.53
28.59,76.63
9.07,93.51
36.48,70.27
17.7,73.68
26.95,92.45
35.69,70.81
36.53,70.65
10.89,91.51
36.67,70.84
9.93,91.46
24.44,93.82
27.13,90.02
26.92,93.64
26.76,88.43
27.76,85.72
7.98,92.12
10.51,92.83
32.03,97.27
37.58,71.73
26.73,92.57
24.99,95.54
25.94,68.03
7.96,94.28
36.62,70.44
25.8,94.89
23.61,69.91
30.53,78.98
36.48,70.61
8.3,94.25
37.74,72.62
37.16,72.38
35.1,73.44
30.9,88.59
37.4,71.9
24.78,94.7
34.05,75.53
36.53,70.22
34.34,68.9
36.85,71.57
26.39,92.99
34.76,69.44
27.67,86.29
28.93,78.11
36.65,70.92
27.84,87.37
25.34,94.92
25.22,95.35
27.01,92.02
29.95,80.25
29.99,80.17
32.97,75.92
25.37,91.79
36.72,71.54
37.21,72.24
36.81,71.55
37.88,72.1
36.52,71.06
29.69,80.39
36.87,70.52
36.72,70.7
36.97,71.52
32.87,94.56
22.63,92.6
24.84,91.08
33,94.79
36.02,71.65
30.85,69.6
24.88,91.08
